2022-02-16 16:50:02.928 [eventLoopGroupProxy-4-6] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 16:50:09.141 [eventLoopGroupProxy-4-5] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 17:56:22.040 [eventLoopGroupProxy-4-7] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 17:57:03.595 [eventLoopGroupProxy-4-7] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 17:58:21.830 [eventLoopGroupProxy-4-7] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 17:59:06.324 [eventLoopGroupProxy-4-8] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 18:02:34.049 [eventLoopGroupProxy-4-8] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 18:03:55.153 [eventLoopGroupProxy-4-8] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 18:04:11.642 [eventLoopGroupProxy-4-8] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 18:05:01.695 [eventLoopGroupProxy-4-8] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 18:05:24.425 [eventLoopGroupProxy-4-8] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 18:05:45.006 [eventLoopGroupProxy-4-8] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
2022-02-16 18:06:00.571 [eventLoopGroupProxy-4-8] DEBUG Exposed - SELECT book_rating.id, book_rating.title, book_rating.author, book_rating.summary, book_rating.isbn, book_rating.image_url, book_rating.rating, book_rating.create_date, book_rating.update_date FROM book_rating ORDER BY book_rating.update_date DESC NULLS LAST
